"","stem","total","density","timepoints","species","plantedyear","plantedtype","height","diameter"
"65",0.914,16.7347215947066,5.33333333333333,1,"corn","2015","monoculture",34,1.4
"66",0.809,10.0358650283391,5.33333333333333,1,"corn","2015","monoculture",37,0.95
"67",1.087,16.9127860597557,5.33333333333333,1,"corn","2015","monoculture",40,1.3
"68",0.241,3.07762113144245,6.22222222222222,1,"corn","2015","monoculture",16,0.65
"69",0.259,2.60630947289797,6.22222222222222,1,"corn","2015","monoculture",15,0.6
"70",0.373,5.82241808778927,6.22222222222222,1,"corn","2015","monoculture",25,0.8
"71",0.881,13.2156665709414,6.22222222222222,1,"corn","2015","monoculture",31,1.25
"72",0.799,13.8965404200254,6.22222222222222,1,"corn","2015","monoculture",36,1.2
"73",0.612,11.2708592383468,6.22222222222222,1,"corn","2015","monoculture",25,1.25
"74",0.627,9.96516493941421,6.22222222222222,1,"corn","2015","monoculture",30,1.05
"75",0.703,10.6100749262981,6.22222222222222,1,"corn","2015","monoculture",36,1
"76",0.98,14.4638099240792,6.22222222222222,1,"corn","2015","monoculture",38,1.2
"77",1.408,27.5454171241901,3.11111111111111,1,"corn","2015","monoculture",48,1.65
"78",0.322,5.29201268452179,3.11111111111111,1,"corn","2015","monoculture",25,0.75
"79",1.129,17.8843422046555,3.11111111111111,1,"corn","2015","monoculture",40,1.35
"80",1.027,17.8153093868541,3.11111111111111,1,"corn","2015","monoculture",37,1.4
"81",1.012,18.3883640866226,3.11111111111111,1,"corn","2015","monoculture",36,1.45
"82",0.636,9.01356344551309,3.11111111111111,1,"corn","2015","monoculture",32,0.95
"83",0.407,5.99388020089579,3.11111111111111,1,"corn","2015","monoculture",26,0.8
"84",0.825,16.2532970780587,9.33333333333333,1,"corn","2015","monoculture",41,1.25
"85",0.865,15.6442451273832,9.33333333333333,1,"corn","2015","monoculture",36,1.3
"86",0.649,7.99629870352425,9.33333333333333,1,"corn","2015","monoculture",34,0.85
"87",1.375,25.0916623512526,9.33333333333333,1,"corn","2015","monoculture",45,1.6
"88",0.842,16.2016382282908,9.33333333333333,1,"corn","2015","monoculture",35,1.35
"89",0.888,10.8836435472982,9.33333333333333,1,"corn","2015","monoculture",46,0.9
"90",1.3,26.6914171724246,9.33333333333333,1,"corn","2015","monoculture",46,1.65
"91",0.904,15.5113248451417,9.33333333333333,1,"corn","2015","monoculture",33,1.35
"92",1.052,25.0916623512526,9.33333333333333,1,"corn","2015","monoculture",45,1.6
"93",0.309,3.76364494498396,9.33333333333333,1,"corn","2015","monoculture",21,0.65
"94",0.334,4.49239875403978,9.33333333333333,1,"corn","2015","monoculture",23,0.7
"95",0.839,14.7445204992725,9.33333333333333,1,"corn","2015","monoculture",39,1.2
"96",1.692,36.0858673639664,9.33333333333333,1,"corn","2015","monoculture",55,1.85
"97",0.673,12.898854621247,9.33333333333333,1,"corn","2015","monoculture",30,1.25
"98",0.361,5.46851525499004,9.33333333333333,1,"corn","2015","monoculture",30,0.7
"99",0.485,7.12027682024026,9.33333333333333,1,"corn","2015","monoculture",21,1
"100",0.572,8.1654942866132,9.33333333333333,1,"corn","2015","monoculture",28,0.95
"101",1.268,21.689847760839,9.33333333333333,1,"corn","2015","monoculture",45,1.45
"102",0.32,4.05099676398178,7.11111111111111,1,"corn","2015","monoculture",20,0.7
"103",0.528,6.93121101260709,7.11111111111111,1,"corn","2015","monoculture",25,0.9
"104",0.623,7.61610984101751,7.11111111111111,1,"corn","2015","monoculture",23,1
"105",0.852,13.9342125664037,7.11111111111111,1,"corn","2015","monoculture",43,1.1
"106",0.54,7.46858165944901,7.11111111111111,1,"corn","2015","monoculture",35,0.8
"107",0.523,6.78821552854132,7.11111111111111,1,"corn","2015","monoculture",35,0.75
"108",0.506,8.707437568452,7.11111111111111,1,"corn","2015","monoculture",25,1.05
"109",0.742,9.6160264562573,7.11111111111111,1,"corn","2015","monoculture",30,1.025
"110",1.537,23.9399243515945,7.11111111111111,1,"corn","2015","monoculture",45,1.55
"111",0.596,13.3310783261252,7.11111111111111,1,"corn","2015","monoculture",29,1.3
"112",0.327,3.27421528186716,9.33333333333333,1,"corn","2015","monoculture",15,0.7
"113",0.474,6.49833804123788,9.33333333333333,1,"corn","2015","monoculture",29,0.8
"114",0.358,4.37683306636348,9.33333333333333,1,"corn","2015","monoculture",17,0.8
"115",0.778,9.01356344551309,9.33333333333333,1,"corn","2015","monoculture",32,0.95
"116",0.407,6.93121101260709,9.33333333333333,1,"corn","2015","monoculture",25,0.9
"117",0.587,10.6933819252951,9.33333333333333,1,"corn","2015","monoculture",33,1.05
"118",0.707,9.83443437515253,9.33333333333333,1,"corn","2015","monoculture",36,0.95
"119",0.283,3.46027993654055,9.33333333333333,1,"corn","2015","monoculture",22,0.6
"120",0.484,6.36898486317575,9.33333333333333,1,"corn","2015","monoculture",25,0.85
"121",0.823,15.364600800362,15.5555555555556,1,"corn","2015","monoculture",38,1.25
"122",1.416,27.0215126563802,15.5555555555556,1,"corn","2015","monoculture",53,1.55
"123",1.266,23.7947515139911,15.5555555555556,1,"corn","2015","monoculture",51,1.45
"124",1.1,22.0455043537506,15.5555555555556,1,"corn","2015","monoculture",46,1.45
"125",1.06,22.0455043537506,15.5555555555556,1,"corn","2015","monoculture",46,1.45
"126",1.123,24.1391357938364,15.5555555555556,1,"corn","2015","monoculture",52,1.45
"127",1.194,25.9122180421082,15.5555555555556,1,"corn","2015","monoculture",47,1.6
"128",1.549,35.1169709053369,15.5555555555556,1,"corn","2015","monoculture",56,1.8
"129",1.41,26.835591287177,15.5555555555556,1,"corn","2015","monoculture",60,1.45
"130",0.441,3.80359315560159,13.7777777777778,1,"corn","2015","monoculture",25,0.6
"131",0.314,4.28195377356802,13.7777777777778,1,"corn","2015","monoculture",25,0.65
"132",0.892,15.0233656645567,13.7777777777778,1,"corn","2015","monoculture",40,1.2
"133",1.032,17.8843422046555,13.7777777777778,1,"corn","2015","monoculture",40,1.35
"134",0.953,17.412401781051,13.7777777777778,1,"corn","2015","monoculture",45,1.25
"135",0.532,6.83090617031441,13.7777777777778,1,"corn","2015","monoculture",22,0.95
"136",0.746,9.99524786143449,13.7777777777778,1,"corn","2015","monoculture",41,0.9
"137",0.385,5.59805148596847,13.7777777777778,1,"corn","2015","monoculture",21,0.85
"138",0.469,5.79411878100611,13.7777777777778,1,"corn","2015","monoculture",22,0.85
"139",0.772,12.5078251811034,12.8888888888889,1,"corn","2015","monoculture",34,1.15
"140",0.602,11.2708592383468,12.8888888888889,1,"corn","2015","monoculture",25,1.25
"141",0.511,8.80950575155796,12.8888888888889,1,"corn","2015","monoculture",28,1
"142",0.398,6.05640624445007,12.8888888888889,1,"corn","2015","monoculture",30,0.75
"143",1.081,18.8733279587384,12.8888888888889,1,"corn","2015","monoculture",40,1.4
"144",0.567,8.33940139100592,12.8888888888889,1,"corn","2015","monoculture",26,1
"145",0.643,11.4013724344969,12.8888888888889,1,"corn","2015","monoculture",30,1.15
"146",0.741,7.93720582609374,12.8888888888889,1,"corn","2015","monoculture",38,0.8
"147",0.278,4.05099676398178,12.8888888888889,1,"corn","2015","monoculture",20,0.7
"148",0.739,8.707437568452,12.8888888888889,1,"corn","2015","monoculture",36,0.875
"149",0.513,8.12720412333781,13.3333333333333,1,"corn","2015","monoculture",31,0.9
"150",0.292,4.02573299146267,13.3333333333333,1,"corn","2015","monoculture",23,0.65
"151",0.229,3.10453182000495,13.3333333333333,1,"corn","2015","monoculture",19,0.6
"152",0.332,5.3995405508431,13.3333333333333,1,"corn","2015","monoculture",20,0.85
"153",0.313,4.48649787988403,13.3333333333333,1,"corn","2015","monoculture",20,0.75
"154",0.474,5.60282880690908,13.3333333333333,1,"corn","2015","monoculture",31,0.7
"155",0.823,13.580859787639,13.3333333333333,1,"corn","2015","monoculture",38,1.15
"156",0.449,7.50863757628244,13.3333333333333,1,"corn","2015","monoculture",25,0.95
"157",0.488,9.72446201394809,13.3333333333333,1,"corn","2015","monoculture",32,1
"158",0.815,15.959005084096,20,1,"corn","2015","monoculture",40,1.25
"159",0.661,12.7161498113766,20,1,"corn","2015","monoculture",38,1.1
"160",0.894,19.0565016379735,20,1,"corn","2015","monoculture",47,1.3
"161",0.441,7.10835532529714,20,1,"corn","2015","monoculture",29,0.85
"162",0.539,7.13532553490517,20,1,"corn","2015","monoculture",26,0.9
"163",0.654,10.170656781048,20,1,"corn","2015","monoculture",34,1
"164",1.332,22.7508569220736,20,1,"corn","2015","monoculture",48,1.45
"165",0.643,14.1811718596241,20,1,"corn","2015","monoculture",37,1.2
"166",1.352,24.4818023305673,20,1,"corn","2015","monoculture",53,1.45
"167",0.53,16.1286301427912,20,1,"corn","2015","monoculture",39,1.275
"168",0.662,11.9590969854958,16.8888888888889,1,"corn","2015","monoculture",32,1.15
"169",0.562,8.80950575155796,16.8888888888889,1,"corn","2015","monoculture",28,1
"170",0.498,5.75495872601987,16.8888888888889,1,"corn","2015","monoculture",28,0.75
"171",0.584,9.01356344551309,16.8888888888889,1,"corn","2015","monoculture",32,0.95
"172",0.526,9.27095191891222,16.8888888888889,1,"corn","2015","monoculture",30,1
"173",0.298,4.91903572826984,16.8888888888889,1,"corn","2015","monoculture",26,0.7
"174",1.177,24.3324762967872,16.8888888888889,1,"corn","2015","monoculture",46,1.55
"175",0.322,5.29201268452179,16.8888888888889,1,"corn","2015","monoculture",25,0.75
"176",0.429,7.28520630768664,16.8888888888889,1,"corn","2015","monoculture",24,0.95
"177",0.555,14.7445204992725,16.8888888888889,1,"corn","2015","monoculture",39,1.2
"178",0.566,8.1654942866132,16.8888888888889,1,"corn","2015","monoculture",28,0.95
"179",0.722,10.2099218132751,16.8888888888889,1,"corn","2015","monoculture",31,1.05
"180",0.541,6.51646568827643,16.8888888888889,1,"corn","2015","monoculture",23,0.9
"181",0.781,15.0233656645567,16.8888888888889,1,"corn","2015","monoculture",40,1.2
"182",1.018,13.4516583449754,16.8888888888889,1,"corn","2015","monoculture",41,1.1
"183",0.407,5.99388020089579,16.8888888888889,1,"corn","2015","monoculture",26,0.8
"184",0.915,10.4345408900643,16.8888888888889,1,"corn","2015","monoculture",39,0.95
"185",1.203,18.4530441940207,16.8888888888889,1,"corn","2015","monoculture",45,1.3
"186",0.939,15.0233656645567,16.8888888888889,1,"corn","2015","monoculture",40,1.2
"187",1.332,32.4689874485175,16.8888888888889,1,"corn","2015","monoculture",49,1.825
"188",0.534,9.46916547694637,19.5555555555556,1,"corn","2015","monoculture",28,1.05
"189",0.776,13.580859787639,19.5555555555556,1,"corn","2015","monoculture",38,1.15
"190",0.764,11.892114311137,19.5555555555556,1,"corn","2015","monoculture",42,1
"191",0.832,16.0005561061665,19.5555555555556,1,"corn","2015","monoculture",32,1.4
"192",0.611,9.81426787877831,19.5555555555556,1,"corn","2015","monoculture",40,0.9
"193",0.56,7.82158781879954,19.5555555555556,1,"corn","2015","monoculture",33,0.85
"194",0.861,17.1933838876844,19.5555555555556,1,"corn","2015","monoculture",48,1.2
"195",0.412,7.12027682024026,19.5555555555556,1,"corn","2015","monoculture",21,1
"196",0.897,18.1703776853425,19.5555555555556,1,"corn","2015","monoculture",38,1.4
"197",1.303,1.58183359073208,19.5555555555556,1,"corn","2015","monoculture",44,0.25
"198",0.765,14.1062571825635,24.4444444444444,1,"corn","2015","monoculture",40,1.15
"199",0.504,7.82158781879954,24.4444444444444,1,"corn","2015","monoculture",33,0.85
"200",0.65,11.1692783898365,24.4444444444444,1,"corn","2015","monoculture",35,1.05
"201",0.67,14.4574524406423,24.4444444444444,1,"corn","2015","monoculture",35,1.25
"202",0.84,15.364600800362,24.4444444444444,1,"corn","2015","monoculture",38,1.25
"203",0.692,10.2358849910629,24.4444444444444,1,"corn","2015","monoculture",38,0.95
"204",0.692,13.6098455667614,24.4444444444444,1,"corn","2015","monoculture",35,1.2
"205",0.574,10.6318766582433,24.4444444444444,1,"corn","2015","monoculture",40,0.95
"206",0.371,5.29688525221395,24.4444444444444,1,"corn","2015","monoculture",22,0.8
"207",1.601,29.7842021702646,24.4444444444444,1,"corn","2015","monoculture",55,1.625
"208",0.205,2.62236436370749,19.5555555555556,1,"corn","2015","monoculture",18,0.55
"209",0.349,5.79411878100611,19.5555555555556,1,"corn","2015","monoculture",22,0.85
"210",0.543,10.9376350324269,19.5555555555556,1,"corn","2015","monoculture",31,1.1
"211",0.508,9.96516493941421,19.5555555555556,1,"corn","2015","monoculture",30,1.05
"212",0.249,4.1999292793015,19.5555555555556,1,"corn","2015","monoculture",21,0.7
"213",0.21,3.22463562463853,19.5555555555556,1,"corn","2015","monoculture",20,0.6
"214",0.629,10.6754330874044,19.5555555555556,1,"corn","2015","monoculture",30,1.1
"215",0.491,5.75495872601987,19.5555555555556,1,"corn","2015","monoculture",28,0.75
"216",0.633,11.2318690088533,19.5555555555556,1,"corn","2015","monoculture",27,1.2
"217",0.732,15.0643603343898,19.5555555555556,1,"corn","2015","monoculture",37,1.25
"218",0.528,8.12720412333781,24,1,"corn","2015","monoculture",31,0.9
"219",0.405,6.17946574560084,24,1,"corn","2015","monoculture",24,0.85
"220",0.331,4.18481793373997,24,1,"corn","2015","monoculture",16,0.8
"221",0.369,4.48649787988403,24,1,"corn","2015","monoculture",20,0.75
"222",0.385,5.79411878100611,24,1,"corn","2015","monoculture",22,0.85
"223",0.627,8.10084283851239,24,1,"corn","2015","monoculture",25,1
"224",0.38,4.93616851733331,24,1,"corn","2015","monoculture",20,0.8
"225",0.419,5.98788166375932,24,1,"corn","2015","monoculture",23,0.85
"226",0.54,6.33176407132642,24,1,"corn","2015","monoculture",28,0.8
"227",0.276,10.5874389801782,24,1,"corn","2015","monoculture",26,1.175
"228",0.418,7.72975650762137,24.8888888888889,1,"corn","2015","monoculture",26,0.95
"229",0.371,5.98788166375932,24.8888888888889,1,"corn","2015","monoculture",23,0.85
"230",0.757,17.1933838876844,24.8888888888889,1,"corn","2015","monoculture",27,1.6
"231",0.676,11.7114366324718,24.8888888888889,1,"corn","2015","monoculture",34,1.1
"232",0.872,12.5150290041255,24.8888888888889,1,"corn","2015","monoculture",45,1
"233",0.819,13.6098455667614,24.8888888888889,1,"corn","2015","monoculture",35,1.2
"234",0.959,15.364600800362,24.8888888888889,1,"corn","2015","monoculture",38,1.25
"235",0.634,9.96516493941421,24.8888888888889,1,"corn","2015","monoculture",30,1.05
"236",0.699,11.4555538132677,24.8888888888889,1,"corn","2015","monoculture",33,1.1
"237",0.256,20.2959490558588,24.8888888888889,1,"corn","2015","monoculture",36,1.55
"238",0.192,2.51375867591782,26.2222222222222,1,"corn","2015","monoculture",17,0.55
"239",0.687,9.71827717275109,26.2222222222222,1,"corn","2015","monoculture",29,1.05
"240",0.299,4.6565397142157,26.2222222222222,1,"corn","2015","monoculture",28,0.65
"241",0.338,5.82241808778927,26.2222222222222,1,"corn","2015","monoculture",25,0.8
"242",0.523,9.04126333593168,26.2222222222222,1,"corn","2015","monoculture",29,1
"243",0.451,7.13532553490517,26.2222222222222,1,"corn","2015","monoculture",26,0.9
"244",0.39,5.19843089415056,26.2222222222222,1,"corn","2015","monoculture",19,0.85
"245",0.222,2.72941167815311,26.2222222222222,1,"corn","2015","monoculture",19,0.55
"246",0.883,16.3915530872033,26.2222222222222,1,"corn","2015","monoculture",45,1.2
"247",0.797,15.2677903132737,26.2222222222222,1,"corn","2015","monoculture",28,1.45
"248",0.339,5.98788166375932,29.7777777777778,1,"corn","2015","monoculture",23,0.85
"249",0.513,8.1654942866132,29.7777777777778,1,"corn","2015","monoculture",28,0.95
"250",0.532,7.28893938764836,29.7777777777778,1,"corn","2015","monoculture",30,0.85
"251",0.568,10.5462142383675,29.7777777777778,1,"corn","2015","monoculture",27,1.15
"252",0.442,7.93237510203513,29.7777777777778,1,"corn","2015","monoculture",30,0.9
"253",0.386,8.1654942866132,29.7777777777778,1,"corn","2015","monoculture",28,0.95
"254",0.576,7.64549474715355,29.7777777777778,1,"corn","2015","monoculture",32,0.85
"255",0.62,7.15036310648459,29.7777777777778,1,"corn","2015","monoculture",33,0.8
"256",0.315,3.76364494498396,29.7777777777778,1,"corn","2015","monoculture",21,0.65
"257",0.454,24.6891883629436,29.7777777777778,1,"corn","2015","monoculture",39,1.7
"258",0.603,11.4555538132677,29.3333333333333,1,"corn","2015","monoculture",33,1.1
"259",0.405,8.44833412893012,29.3333333333333,1,"corn","2015","monoculture",24,1.05
"260",0.284,3.74715237111456,29.3333333333333,1,"corn","2015","monoculture",18,0.7
"261",0.635,9.49865805555753,29.3333333333333,1,"corn","2015","monoculture",31,1
"262",0.426,5.60282880690908,29.3333333333333,1,"corn","2015","monoculture",31,0.7
"263",0.706,12.7790260895159,29.3333333333333,1,"corn","2015","monoculture",35,1.15
"264",0.647,12.4408627198177,29.3333333333333,1,"corn","2015","monoculture",31,1.2
"265",0.454,8.57558558780356,29.3333333333333,1,"corn","2015","monoculture",27,1
"266",0.332,5.29201268452179,29.3333333333333,1,"corn","2015","monoculture",25,0.75
"267",0.647,18.577800053637,29.3333333333333,1,"corn","2015","monoculture",33,1.525
"268",0.386,6.82708695562837,28.4444444444444,1,"corn","2015","monoculture",31,0.8
"269",0.712,11.8701067420094,28.4444444444444,1,"corn","2015","monoculture",38,1.05
"270",0.899,15.5756908742148,28.4444444444444,1,"corn","2015","monoculture",42,1.2
"271",0.405,8.10084283851239,28.4444444444444,1,"corn","2015","monoculture",25,1
"272",0.746,12.7826011422949,28.4444444444444,1,"corn","2015","monoculture",42,1.05
"273",1.157,22.5905093636051,28.4444444444444,1,"corn","2015","monoculture",51,1.4
"274",0.771,11.6001283967506,28.4444444444444,1,"corn","2015","monoculture",45,0.95
"275",0.638,10.6318766582433,28.4444444444444,1,"corn","2015","monoculture",40,0.95
"276",0.833,14.1062571825635,28.4444444444444,1,"corn","2015","monoculture",40,1.15
"277",0.471,13.029962322552,28.4444444444444,1,"corn","2015","monoculture",33,1.2
"278",0.314,7.64648885371055,35.1111111111111,1,"corn","2015","monoculture",38.5,0.775
"279",1.053,24.7353709555603,35.1111111111111,1,"corn","2015","monoculture",62,1.35
"280",0.499,11.9653698468839,35.1111111111111,1,"corn","2015","monoculture",35,1.1
"281",0.617,14.5624697560584,35.1111111111111,1,"corn","2015","monoculture",40,1.175
"282",0.559,10.1612473939455,35.1111111111111,1,"corn","2015","monoculture",47,0.85
"283",0.775,18.6796950848431,35.1111111111111,1,"corn","2015","monoculture",56,1.175
"284",0.441,10.1750836696483,35.1111111111111,1,"corn","2015","monoculture",42,0.9
"285",0.585,13.0482195194941,35.1111111111111,1,"corn","2015","monoculture",36,1.15
"286",0.155,2.83976990983477,35.1111111111111,1,"corn","2015","monoculture",22,0.525
"287",0.392,9.34973033654061,35.1111111111111,1,"corn","2015","monoculture",42,0.85
"288",0.238,5.60214642013626,31.1111111111111,1,"corn","2015","monoculture",27,0.75
"289",0.24,5.47401999778499,31.1111111111111,1,"corn","2015","monoculture",23,0.8
"290",0.683,16.3403994410267,31.1111111111111,1,"corn","2015","monoculture",43,1.225
"291",0.457,11.0049930240741,31.1111111111111,1,"corn","2015","monoculture",36,1.025
"292",0.528,9.25894330282939,31.1111111111111,1,"corn","2015","monoculture",44,0.825
"293",0.744,18.5166359696008,31.1111111111111,1,"corn","2015","monoculture",47,1.275
"294",0.39,7.84948760295096,31.1111111111111,1,"corn","2015","monoculture",28,0.925
"295",0.677,19.7315250623205,31.1111111111111,1,"corn","2015","monoculture",41,1.425
"296",0.644,17.7171619112897,31.1111111111111,1,"corn","2015","monoculture",41,1.325
"297",0.192,4.02573299146267,31.1111111111111,1,"corn","2015","monoculture",23,0.65
"298",0.358,7.46858165944901,35.1111111111111,1,"corn","2015","monoculture",35,0.8
"299",0.36,6.45602499010021,35.1111111111111,1,"corn","2015","monoculture",35,0.725
"300",0.413,10.9376350324269,35.1111111111111,1,"corn","2015","monoculture",31,1.1
"301",0.425,10.086416671867,35.1111111111111,1,"corn","2015","monoculture",32,1.025
"302",0.289,5.99388020089579,35.1111111111111,1,"corn","2015","monoculture",26,0.8
"303",0.589,14.0315731388446,35.1111111111111,1,"corn","2015","monoculture",35,1.225
"304",0.512,10.1750836696483,35.1111111111111,1,"corn","2015","monoculture",42,0.9
"305",0.69,18.5230245465986,35.1111111111111,1,"corn","2015","monoculture",39,1.4
"306",0.613,15.959005084096,35.1111111111111,1,"corn","2015","monoculture",40,1.25
"307",0.188,3.46512837821002,35.1111111111111,1,"corn","2015","monoculture",24,0.575
"308",0.813,13.580859787639,34.6666666666667,1,"corn","2015","monoculture",38,1.15
"309",0.802,21.1386797698918,34.6666666666667,1,"corn","2015","monoculture",45,1.425
"310",0.279,5.60282880690908,34.6666666666667,1,"corn","2015","monoculture",31,0.7
"311",0.641,13.9288861150392,34.6666666666667,1,"corn","2015","monoculture",45,1.075
"312",0.337,5.82662516066066,34.6666666666667,1,"corn","2015","monoculture",41,0.625
"313",0.401,7.42489635676222,34.6666666666667,1,"corn","2015","monoculture",37,0.775
"314",0.349,4.41992360403985,34.6666666666667,1,"corn","2015","monoculture",40,0.525
"315",0.389,5.8761883931313,34.6666666666667,1,"corn","2015","monoculture",45,0.6
"316",0.23,4.91903572826984,34.6666666666667,1,"corn","2015","monoculture",26,0.7
"317",0.84,21.2655445347071,34.6666666666667,1,"corn","2015","monoculture",47,1.4
"318",1.009,17.9761651227716,60.4444444444444,1,"corn","2015","monoculture",58,1.125
"319",0.624,12.5866022488279,60.4444444444444,1,"corn","2015","monoculture",53,0.925
"320",0.422,9.5685744328445,60.4444444444444,1,"corn","2015","monoculture",46,0.825
"321",0.604,14.6517690532709,60.4444444444444,1,"corn","2015","monoculture",53,1.025
"322",0.699,17.9339017567585,60.4444444444444,1,"corn","2015","monoculture",53,1.175
"323",0.612,15.8492786725324,60.4444444444444,1,"corn","2015","monoculture",43,1.2
"324",0.938,19.7778718985384,60.4444444444444,1,"corn","2015","monoculture",58,1.2
"325",0.691,18.8078211297663,60.4444444444444,1,"corn","2015","monoculture",52,1.225
"326",0.68,17.8425703916925,60.4444444444444,1,"corn","2015","monoculture",43,1.3
"327",0.76,22.6369008089023,60.4444444444444,1,"corn","2015","monoculture",55,1.35
"328",0.991,25.7909993765601,60.4444444444444,1,"corn","2015","monoculture",61,1.4
