,stem,total,density,height,basediameter,timepoints,species,plantedyear,plantedtype
39,0.049,0.228,198,10,0.3535,1,corn,2011,mixture
40,0.051,0.299,198,12.5,0.359,1,corn,2011,mixture
41,0.066,0.287,198,11,0.378,1,corn,2011,mixture
42,0.025,0.129,1537,21.5,0.169,1,wheat,2011,mixture
43,0.012,0.083,1537,16,0.1565,1,wheat,2011,mixture
44,0.016,0.07,1537,18,0.1525,1,wheat,2011,mixture
45,0.023,0.077,1537,18,0.136,1,wheat,2011,mixture
46,0.007,0.042,1537,15,0.099,1,wheat,2011,mixture
47,0.056,0.294,179,11,0.385,1,corn,2011,mixture
48,0.036,0.218,179,15,0.27,1,corn,2011,mixture
49,0.054,0.233,179,18.5,0.2835,1,corn,2011,mixture
50,0.087,0.736,234,21.5,0.3435,1,wheat,2011,mixture
51,0.038,0.367,234,18,0.277,1,wheat,2011,mixture
52,0.027,0.265,234,15,0.217,1,wheat,2011,mixture
53,0.027,0.242,234,13,0.2135,1,wheat,2011,mixture
54,0.071,0.667,234,22,0.3375,1,wheat,2011,mixture
55,0.039,0.49,247,11,0.445,1,corn,2011,mixture
56,0.053,0.481,247,11,0.4815,1,corn,2011,mixture
57,0.075,0.761,247,13.5,0.505,1,corn,2011,mixture
58,0.016,0.088,1096,16,0.157,1,wheat,2011,mixture
59,0.019,0.08,1096,18.5,0.144,1,wheat,2011,mixture
60,0.009,0.04,1096,14,0.112,1,wheat,2011,mixture
61,0.013,0.066,1096,15,0.148,1,wheat,2011,mixture
62,0.009,0.043,1096,14.5,0.1065,1,wheat,2011,mixture
63,0.062,0.304,184,11,0.348,1,corn,2011,mixture
64,0.055,0.306,184,15,0.3705,1,corn,2011,mixture
65,0.063,0.322,184,13,0.4315,1,corn,2011,mixture
66,0.007,0.039,1397,13.5,0.1145,1,wheat,2011,mixture
67,0.016,0.091,1397,14.5,0.1505,1,wheat,2011,mixture
68,0.012,0.078,1397,14,0.1465,1,wheat,2011,mixture
69,0.013,0.084,1397,17,0.1385,1,wheat,2011,mixture
70,0.016,0.061,1397,16,0.129,1,wheat,2011,mixture
71,0.054,0.268,235,15,0.328,1,corn,2011,mixture
72,0.072,0.348,235,21.5,0.3265,1,corn,2011,mixture
73,0.041,0.14,235,13,0.1815,1,corn,2011,mixture
74,0.418008642,1.262329171,176,42.2,0.347,2,wheat,2011,mixture
75,0.236631867,0.738792788,176,25.5,0.322,2,wheat,2011,mixture
76,0.247139964,1.033007051,176,26.5,0.3875,2,wheat,2011,mixture
77,0.311216466,0.697942838,176,32.5,0.2755,2,wheat,2011,mixture
78,0.268309036,0.801114919,176,28.5,0.32,2,wheat,2011,mixture
79,0.067,0.740764419,264,17.5,0.3675,2,corn,2011,mixture
80,0.063,0.768966259,264,15,0.405,2,corn,2011,mixture
81,0.06,0.446912133,264,10,0.3705,2,corn,2011,mixture
82,0.266,0.817664768,174,40,0.2735,2,wheat,2011,mixture
83,0.169,0.376376487,174,24,0.22,2,wheat,2011,mixture
84,0.309,0.64176972,174,36.5,0.247,2,wheat,2011,mixture
85,0.214,0.63778034,174,31,0.267,2,wheat,2011,mixture
86,0.11,0.469983578,174,27,0.2375,2,wheat,2011,mixture
87,0.077,0.680538178,124,18.5,0.3415,2,corn,2011,mixture
88,0.068,0.598584358,124,16.5,0.3375,2,corn,2011,mixture
89,0.122,1.220751355,124,18,0.474,2,corn,2011,mixture
90,0.266,0.777844226,652,37.5,0.274,2,wheat,2011,mixture
91,0.146,0.343121867,652,31.5,0.1815,2,wheat,2011,mixture
92,0.124,0.322812392,652,32,0.1735,2,wheat,2011,mixture
93,0.134,0.347319812,652,34,0.176,2,wheat,2011,mixture
94,0.102,0.35256865,652,28.5,0.194,2,wheat,2011,mixture
95,0.09,0.384009073,76,13,0.2995,2,corn,2011,mixture
96,0.049,0.921545664,76,18,0.4075,2,corn,2011,mixture
97,0.049,0.329863513,76,13,0.276,2,corn,2011,mixture
98,0.065,0.224510577,4104,23,0.164,2,wheat,2011,mixture
99,0.054,0.170862647,4104,17,0.1615,2,wheat,2011,mixture
100,0.069,0.207989151,4104,19.5,0.17,2,wheat,2011,mixture
101,0.067,0.229007026,4104,24,0.1625,2,wheat,2011,mixture
102,0.056,0.113457124,4104,20,0.116,2,wheat,2011,mixture
103,0.300421865,0.919197075,93,31.5,0.331,2,wheat,2011,mixture
104,0.416889958,1.058280814,93,42.1,0.312,2,wheat,2011,mixture
105,0.343854545,1.168894003,93,35.5,0.361,2,wheat,2011,mixture
106,0.451725807,1.307172585,93,45.2,0.3425,2,wheat,2011,mixture
107,0.276831488,0.881286584,93,29.3,0.3345,2,wheat,2011,mixture
108,0.145,0.920677273,280,16,0.432,2,corn,2011,mixture
109,0.088,1.3294089,280,19,0.483,2,corn,2011,mixture
110,0.15,2.053022233,280,22,0.567,2,corn,2011,mixture
111,0.302,0.736928517,355,32,0.287,2,wheat,2011,mixture
112,0.203,0.808848627,355,26,0.337,2,wheat,2011,mixture
113,0.36,0.909288448,355,34,0.3165,2,wheat,2011,mixture
114,0.248,0.851448523,355,36,0.2955,2,wheat,2011,mixture
115,0.342,0.775071237,355,35,0.283,2,wheat,2011,mixture
116,0.036,0.27523486,296,10,0.2855,2,corn,2011,mixture
117,0.048,0.525513249,296,12,0.369,2,corn,2011,mixture
118,0.098,0.86145362,296,15.5,0.4235,2,corn,2011,mixture
119,0.114,0.283490731,1060,27,0.1745,2,wheat,2011,mixture
120,0.141,0.415319176,1060,22,0.244,2,wheat,2011,mixture
121,0.161,0.355513516,1060,27.5,0.1985,2,wheat,2011,mixture
122,0.113,0.214404693,1060,20,0.171,2,wheat,2011,mixture
123,0.089,0.183287133,1060,20.5,0.1535,2,wheat,2011,mixture
124,0.053,0.378218031,262,20,0.2395,2,corn,2011,mixture
125,0.046,0.64904187,262,19,0.3285,2,corn,2011,mixture
126,0.044,0.478994014,262,15,0.314,2,corn,2011,mixture
127,0.063,0.189723928,2072,23,0.148,2,wheat,2011,mixture
128,0.031,0.070522893,2072,18,0.0915,2,wheat,2011,mixture
129,0.061,0.143821998,2072,23,0.125,2,wheat,2011,mixture
130,0.06,0.136901738,2072,23.5,0.12,2,wheat,2011,mixture
131,0.058,0.115288868,2072,28,0.099,2,wheat,2011,mixture
132,0.224092615,4.311874928,40,24.3,0.804,2,corn,2011,mixture
133,0.395701167,18.08111667,40,40.2,1.351,2,corn,2011,mixture
134,0.236631867,3.411581678,40,25.5,0.692,2,corn,2011,mixture
135,0.224092615,3.097404492,40,24.3,0.673,2,corn,2011,mixture
136,0.24398205,3.626608912,40,26.2,0.7055,2,corn,2011,mixture
137,0.158,0.563274811,285,13,0.368,2,corn,2011,mixture
138,0.152,1.305693409,285,21,0.455,2,corn,2011,mixture
139,0.049,0.650527078,285,12.5,0.4055,2,corn,2011,mixture
140,0.211,0.512589091,241,33,0.2265,2,wheat,2011,mixture
141,0.299,0.477429887,241,31.5,0.222,2,wheat,2011,mixture
142,0.256,0.738529735,241,38.5,0.262,2,wheat,2011,mixture
143,0.368,0.766586474,241,33,0.2895,2,wheat,2011,mixture
144,0.449,0.88930549,241,31,0.327,2,wheat,2011,mixture
145,0.059,0.610937644,530,14.5,0.364,2,corn,2011,mixture
146,0.054,0.412710691,530,12.5,0.3175,2,corn,2011,mixture
147,0.098,1.281746271,530,19.5,0.4675,2,corn,2011,mixture
148,0.049,0.113800117,700,18,0.1225,2,wheat,2011,mixture
149,0.093,0.195374645,700,24,0.1475,2,wheat,2011,mixture
150,0.09,0.145713768,700,23,0.126,2,wheat,2011,mixture
151,0.045,0.071920303,700,14,0.105,2,wheat,2011,mixture
152,0.095,0.268176441,700,20,0.196,2,wheat,2011,mixture
153,0.058,0.580434503,440,15.5,0.3425,2,corn,2011,mixture
154,0.086,0.847172897,440,17.5,0.395,2,corn,2011,mixture
155,0.028,0.206288376,440,10,0.2445,2,corn,2011,mixture
156,0.183,0.430277716,1196,27.5,0.223,2,wheat,2011,mixture
157,0.121,0.494719145,1196,23,0.2655,2,wheat,2011,mixture
158,0.095,0.228495768,1196,25,0.159,2,wheat,2011,mixture
159,0.175,0.252943375,1196,25.5,0.1675,2,wheat,2011,mixture
160,0.056,0.132807259,1196,17,0.1385,2,wheat,2011,mixture
161,1.02114254,2.020027327,70,57.2,0.397,3,wheat,2011,mixture
162,0.703630236,1.257536269,70,47.3,0.327,3,wheat,2011,mixture
163,0.488852775,0.738220833,70,36.1,0.2705,3,wheat,2011,mixture
164,1.018674773,1.670953058,70,45.5,0.3965,3,wheat,2011,mixture
165,0.68108396,0.982186364,70,36.2,0.3215,3,wheat,2011,mixture
166,0.114,2.420074882,308,33.9,0.499,3,corn,2011,mixture
167,0.094,2.319943594,308,28.5,0.532,3,corn,2011,mixture
168,0.112,2.294147501,308,31.5,0.503,3,corn,2011,mixture
169,0.358,0.933423822,77,45.5,0.278,3,wheat,2011,mixture
170,0.231,0.462535722,77,31,0.2195,3,wheat,2011,mixture
171,0.65,0.954810098,77,40.3,0.2995,3,wheat,2011,mixture
172,0.222,0.367388641,77,40.2,0.1675,3,wheat,2011,mixture
173,0.219,0.47698336,77,35.5,0.209,3,wheat,2011,mixture
174,0.143,1.542568209,304,33,0.397,3,corn,2011,mixture
175,0.08,1.759871187,304,39.2,0.391,3,corn,2011,mixture
176,0.099,1.505828099,304,32.4,0.3955,3,corn,2011,mixture
177,0.121,0.273319378,864,31.3,0.1585,3,wheat,2011,mixture
178,0.167,0.395138659,864,31.6,0.1975,3,wheat,2011,mixture
179,0.418,0.570025331,864,34.6,0.236,3,wheat,2011,mixture
180,0.247,0.475442371,864,39.2,0.1985,3,wheat,2011,mixture
181,0.139,0.258649489,864,30.6,0.155,3,wheat,2011,mixture
182,0.021,0.339027516,222,14.2,0.268,3,corn,2011,mixture
183,0.076,0.956616767,222,25.4,0.35,3,corn,2011,mixture
184,0.032,0.405370069,222,13.2,0.306,3,corn,2011,mixture
185,0.127,0.236501534,1769,35.9,0.1355,3,wheat,2011,mixture
186,0.138,0.244161193,1769,41.5,0.1285,3,wheat,2011,mixture
187,0.015,0.276987888,1769,40.2,0.141,3,wheat,2011,mixture
188,0.085,0.129157151,1769,33.5,0.097,3,wheat,2011,mixture
189,0.104,0.216054579,1769,35.2,0.1295,3,wheat,2011,mixture
190,0.672972578,1.102464196,68,42.2,0.3195,3,wheat,2011,mixture
191,0.868985882,1.448308675,68,45.1,0.365,3,wheat,2011,mixture
192,1.326745174,1.629114099,68,33.5,0.455,3,wheat,2011,mixture
193,0.644949684,0.853839366,68,32.3,0.3125,3,wheat,2011,mixture
194,0.594424393,0.974195027,68,41.3,0.2995,3,wheat,2011,mixture
195,0.164,2.578437521,262,33.1,0.5225,3,corn,2011,mixture
196,0.112,1.524524126,262,28.5,0.4245,3,corn,2011,mixture
197,0.081,1.316921452,262,25.6,0.414,3,corn,2011,mixture
198,0.528,0.941562202,154,43.6,0.2855,3,wheat,2011,mixture
199,0.403,0.744045801,154,42.5,0.2505,3,wheat,2011,mixture
200,0.666,0.940648689,154,42.5,0.289,3,wheat,2011,mixture
201,0.459,0.764737857,154,45.2,0.247,3,wheat,2011,mixture
202,0.381,0.803461985,154,49.6,0.243,3,wheat,2011,mixture
203,0.018,0.229588924,316,11.5,0.2415,3,corn,2011,mixture
204,0.034,0.601751105,316,17.2,0.3315,3,corn,2011,mixture
205,0.075,1.153398917,316,18.5,0.4535,3,corn,2011,mixture
206,0.211,0.388983986,876,43.1,0.1675,3,wheat,2011,mixture
207,0.181,0.254209722,876,35.2,0.143,3,wheat,2011,mixture
208,0.123,0.232680151,876,29.5,0.148,3,wheat,2011,mixture
209,0.084,0.134218829,876,27.3,0.11,3,wheat,2011,mixture
210,0.103,0.199056939,876,32.1,0.129,3,wheat,2011,mixture
211,0.02,0.322199068,334,20.6,0.2165,3,corn,2011,mixture
212,0.021,0.279140639,334,18.5,0.2115,3,corn,2011,mixture
213,0.105,1.398122042,334,29.1,0.401,3,corn,2011,mixture
214,0.172,0.347176591,998,33.6,0.177,3,wheat,2011,mixture
215,0.113,0.150590888,998,33.2,0.107,3,wheat,2011,mixture
216,0.179,0.251300839,998,35.2,0.142,3,wheat,2011,mixture
217,0.21,0.353489778,998,40.5,0.163,3,wheat,2011,mixture
218,0.107,0.190658949,998,33.5,0.123,3,wheat,2011,mixture
219,0.670952009,1.228370668,42,48.3,0.319,3,wheat,2011,mixture
220,0.603987382,1.139984222,42,49.2,0.302,3,wheat,2011,mixture
221,0.520558205,0.778929492,42,36.1,0.2795,3,wheat,2011,mixture
222,0.631152516,0.743367248,42,27.9,0.309,3,wheat,2011,mixture
223,0.536768575,0.595479193,42,25.2,0.284,3,wheat,2011,mixture
224,0.188,3.409160956,234,30.5,0.6325,3,corn,2011,mixture
225,0.129,2.779972327,234,31.3,0.5595,3,corn,2011,mixture
226,0.098,1.739553837,234,23.3,0.504,3,corn,2011,mixture
227,0.745,1.18060586,272,34.3,0.3695,3,wheat,2011,mixture
228,0.384,0.565364716,272,35.6,0.2315,3,wheat,2011,mixture
229,0.256,0.860503324,272,32.4,0.3135,3,wheat,2011,mixture
230,0.225,0.337188724,272,30.5,0.1825,3,wheat,2011,mixture
231,0.384,0.631548472,272,41.1,0.2305,3,wheat,2011,mixture
232,0.349,0.577732188,754,41.6,0.217,3,wheat,2011,mixture
233,0.343,0.476518167,754,45.5,0.1845,3,wheat,2011,mixture
234,0.217,0.31875109,754,35.7,0.163,3,wheat,2011,mixture
235,0.102,0.141184688,754,26.8,0.1145,3,wheat,2011,mixture
236,0.091,0.148906412,754,26.7,0.1185,3,wheat,2011,mixture
237,0.039,0.94686677,428,21.2,0.381,3,corn,2011,mixture
238,0.018,0.517584553,428,15.6,0.321,3,corn,2011,mixture
239,0.087,1.224154704,428,18.8,0.4645,3,corn,2011,mixture
240,0.337,0.432144589,1498,37.1,0.1925,3,wheat,2011,mixture
241,0.261,0.279153792,1498,36.1,0.1495,3,wheat,2011,mixture
242,0.289,0.466729325,1498,33.6,0.212,3,wheat,2011,mixture
243,0.164,0.237224143,1498,29.8,0.149,3,wheat,2011,mixture
244,0.258,0.513697562,1498,40,0.206,3,wheat,2011,mixture
245,0.596658385,1.040204315,71,44,0.302,4,wheat,2011,mixture
246,0.76729209,1.474355469,71,49,0.354,4,wheat,2011,mixture
247,0.442381929,0.676581679,71,38,0.25,4,wheat,2011,mixture
248,0.595095184,1.133099517,71,49,0.3015,4,wheat,2011,mixture
249,0.393024238,0.662400267,71,43,0.232,4,wheat,2011,mixture
250,0.112,0.757130862,300,30,0.284,4,corn,2011,mixture
251,0.603,4.621212255,300,34,0.7055,4,corn,2011,mixture
252,0.239,1.442745835,300,43,0.3355,4,corn,2011,mixture
253,0.502,0.682706406,73,45,0.231,4,wheat,2011,mixture
254,0.176,0.209455808,73,29,0.14,4,wheat,2011,mixture
255,0.109,0.156051246,73,29,0.117,4,wheat,2011,mixture
256,0.202,0.246661305,73,33,0.145,4,wheat,2011,mixture
257,0.167,0.263620812,73,33,0.151,4,wheat,2011,mixture
258,0.136,0.780625955,301,42,0.244,4,corn,2011,mixture
259,0.108,0.644903145,301,39,0.2285,4,corn,2011,mixture
260,0.257,1.823919215,301,55,0.3365,4,corn,2011,mixture
261,0.082,0.043096514,842,25,0.0575,4,wheat,2011,mixture
262,0.257,0.290916237,842,39,0.1475,4,wheat,2011,mixture
263,0.125,0.066103422,842,34,0.064,4,wheat,2011,mixture
264,0.217,0.213052745,842,24,0.1555,4,wheat,2011,mixture
265,0.342,0.323010921,842,42,0.1515,4,wheat,2011,mixture
266,0.067,0.534531042,219,25,0.258,4,corn,2011,mixture
267,0.057,0.346843871,219,26,0.2005,4,corn,2011,mixture
268,0.114,0.810767613,219,26,0.3165,4,corn,2011,mixture
269,0.13,0.194223316,1680,36,0.12,4,wheat,2011,mixture
270,0.121,0.179817954,1680,39,0.11,4,wheat,2011,mixture
271,0.047,0.02710891,1680,26,0.0425,4,wheat,2011,mixture
272,0.035,0.090231088,1680,19,0.1035,4,wheat,2011,mixture
273,0.051,0.067994311,1680,29,0.0705,4,wheat,2011,mixture
274,0.391684055,0.647446847,63,42,0.2315,4,wheat,2011,mixture
275,0.374415758,0.507033705,63,33,0.225,4,wheat,2011,mixture
276,0.934710082,1.275427636,63,32,0.401,4,wheat,2011,mixture
277,0.467858951,0.638659113,63,33,0.259,4,wheat,2011,mixture
278,0.252649413,0.337343214,63,33,0.1755,4,wheat,2011,mixture
279,0.168,1.356004334,261,43,0.3245,4,corn,2011,mixture
280,0.213,1.298629966,261,36,0.3465,4,corn,2011,mixture
281,0.254,1.691890543,261,43,0.3655,4,corn,2011,mixture
282,0.195,0.316116427,139,36,0.1615,4,wheat,2011,mixture
283,0.477,0.634035945,139,26,0.2905,4,wheat,2011,mixture
284,0.35,0.498008657,139,32,0.226,4,wheat,2011,mixture
285,0.267,0.304206604,139,35,0.16,4,wheat,2011,mixture
286,0.329,0.308897796,139,35,0.1615,4,wheat,2011,mixture
287,0.121,0.774850483,307,36,0.2625,4,corn,2011,mixture
288,0.113,0.830017134,307,33,0.2845,4,corn,2011,mixture
289,0.125,0.860975254,307,28,0.315,4,corn,2011,mixture
290,0.195,0.209627652,890,35,0.1275,4,wheat,2011,mixture
291,0.104,0.077740474,890,29,0.0765,4,wheat,2011,mixture
292,0.093,0.123238047,890,27,0.105,4,wheat,2011,mixture
293,0.092,0.094084415,890,23,0.0965,4,wheat,2011,mixture
294,0.062,0.078631998,890,23,0.0865,4,wheat,2011,mixture
295,0.061,0.258473331,332,23,0.182,4,corn,2011,mixture
296,0.082,0.224200511,332,19,0.1855,4,corn,2011,mixture
297,0.059,0.298083069,332,23,0.1965,4,corn,2011,mixture
298,0.246,0.359316009,975,28,0.198,4,wheat,2011,mixture
299,0.066,0.056756682,975,22,0.0725,4,wheat,2011,mixture
300,0.117,0.072109094,975,33,0.0685,4,wheat,2011,mixture
301,0.123,0.094193273,975,29,0.086,4,wheat,2011,mixture
302,0.027,0.010807445,975,17,0.03,4,wheat,2011,mixture
303,0.414695377,0.549598436,40,32,0.24,4,wheat,2011,mixture
304,0.297300936,0.438560625,40,37,0.1945,4,wheat,2011,mixture
305,0.504107498,0.741014401,40,36,0.2715,4,wheat,2011,mixture
306,0.467858951,0.670229408,40,35,0.259,4,wheat,2011,mixture
307,0.462152043,0.944341934,40,54,0.257,4,wheat,2011,mixture
308,0.449,3.975975253,241,44,0.572,4,corn,2011,mixture
309,0.119,1.011860598,241,36,0.303,4,corn,2011,mixture
310,0.289,1.574040835,241,38,0.374,4,corn,2011,mixture
311,0.135,0.173089618,269,24,0.137,4,wheat,2011,mixture
312,0.252,0.323274257,269,33,0.171,4,wheat,2011,mixture
313,0.701,0.766167228,269,47,0.2425,4,wheat,2011,mixture
314,0.149,0.200903409,269,25,0.147,4,wheat,2011,mixture
315,0.404,0.490106491,269,35,0.214,4,wheat,2011,mixture
316,0.083,0.071808047,739,25,0.0785,4,wheat,2011,mixture
317,0.137,0.198470335,739,33,0.127,4,wheat,2011,mixture
318,0.169,0.30237928,739,27,0.1815,4,wheat,2011,mixture
319,0.199,0.226301021,739,22,0.1685,4,wheat,2011,mixture
320,0.107,0.130046637,739,27,0.1085,4,wheat,2011,mixture
321,0.051,0.380448956,419,19,0.2465,4,corn,2011,mixture
322,0.044,0.332288434,419,22,0.213,4,corn,2011,mixture
323,0.066,0.36559127,419,21,0.2295,4,corn,2011,mixture
324,0.05,0.020452536,1487,25,0.0365,4,wheat,2011,mixture
325,0.055,0.016765332,1487,24,0.033,4,wheat,2011,mixture
326,0.097,0.06637731,1487,27,0.072,4,wheat,2011,mixture
327,0.047,0.08951732,1487,19,0.103,4,wheat,2011,mixture
328,0.086,0.043712816,1487,25,0.058,4,wheat,2011,mixture
329,0.501,1.015241253,10,43,0.301,5,wheat,2011,mixture
330,0.613,1.123869055,10,49,0.3,5,wheat,2011,mixture
331,0.439,0.798119489,10,42,0.263,5,wheat,2011,mixture
332,0.349,0.678308016,15,49,0.2205,5,wheat,2011,mixture
333,0.445,0.650814166,15,39,0.241,5,wheat,2011,mixture
334,0.291,0.559191004,15,30,0.2505,5,wheat,2011,mixture
335,0.597,0.859207063,42,48.5,0.256,5,wheat,2011,mixture
336,0.709,1.146595306,42,53,0.292,5,wheat,2011,mixture
337,0.527,0.905982939,42,46,0.2715,5,wheat,2011,mixture
338,0.526,0.515020331,42,31.5,0.2325,5,wheat,2011,mixture
339,0.497,0.4041354,42,30,0.2055,5,wheat,2011,mixture
340,0.629,1.162993684,70,48,0.3095,5,wheat,2011,mixture
341,0.562,1.08290594,70,44,0.3095,5,wheat,2011,mixture
342,0.46,0.726596385,70,40,0.2545,5,wheat,2011,mixture
343,0.927,0.478889255,70,35,0.211,5,wheat,2011,mixture
344,0.526,0.417860682,70,32.5,0.2015,5,wheat,2011,mixture
345,0.691,1.009844622,52,48.5,0.2825,5,wheat,2011,mixture
346,0.537,0.60037219,52,43,0.2185,5,wheat,2011,mixture
347,0.51,0.835004729,52,36.5,0.29,5,wheat,2011,mixture
348,0.697,0.459084915,52,31,0.2185,5,wheat,2011,mixture
349,0.824,0.544725599,52,40,0.2135,5,wheat,2011,mixture
350,0.603,1.01443066,122,50,0.279,5,wheat,2011,mixture
351,0.259,0.622412532,122,42,0.226,5,wheat,2011,mixture
352,0.506,0.736830393,122,45,0.242,5,wheat,2011,mixture
353,0.569,0.440194179,122,32.5,0.208,5,wheat,2011,mixture
354,0.378,0.396103793,122,30,0.203,5,wheat,2011,mixture
355,0.816,4.345027855,293,76,0.4565,5,corn,2011,mixture
356,1.375,3.000749447,293,53,0.448,5,corn,2011,mixture
357,0.816,3.910679288,293,52,0.5215,5,corn,2011,mixture
358,0.416,0.505459816,73,23,0.269,5,wheat,2011,mixture
359,0.23,0.465390661,73,38,0.199,5,wheat,2011,mixture
360,0.271,0.454934527,73,35,0.2045,5,wheat,2011,mixture
361,0.316,0.384557421,73,36,0.182,5,wheat,2011,mixture
362,0.252,0.380172235,73,35.5,0.182,5,wheat,2011,mixture
363,0.382,3.111530368,305,65,0.4125,5,corn,2011,mixture
364,0.521,1.690847459,305,51,0.3355,5,corn,2011,mixture
365,0.347,0.675425921,305,37,0.2405,5,corn,2011,mixture
366,0.124,0.271930414,867,64,0.1105,5,wheat,2011,mixture
367,0.104,0.176797103,867,40,0.1075,5,wheat,2011,mixture
368,0.188,0.461217941,867,64,0.1525,5,wheat,2011,mixture
369,0.192,0.358719086,867,34,0.1795,5,wheat,2011,mixture
370,0.167,0.363422945,867,32,0.1865,5,wheat,2011,mixture
371,0.408,6.168461328,216,48,0.6935,5,corn,2011,mixture
372,0.349,0.861669147,216,31,0.2995,5,corn,2011,mixture
373,0.257,0.304102526,216,20,0.213,5,corn,2011,mixture
374,0.073,0.173583837,1573,41,0.105,5,wheat,2011,mixture
375,0.086,0.168778056,1573,40,0.1045,5,wheat,2011,mixture
376,0.046,0.096815583,1573,28,0.089,5,wheat,2011,mixture
377,0.037,0.114748779,1573,29,0.097,5,wheat,2011,mixture
378,0.026,0.110403283,1573,34,0.0875,5,wheat,2011,mixture
379,0.341,0.759434086,2,45,0.2465,5,wheat,2011,mixture
380,0.697,2.132579365,2,63,0.391,5,wheat,2011,mixture
381,0.758,1.432850224,26,51,0.341,5,wheat,2011,mixture
382,0.605,1.055390957,26,51,0.283,5,wheat,2011,mixture
383,0.674,1.135391454,26,48,0.305,5,wheat,2011,mixture
384,0.627,0.965850059,26,53,0.263,5,wheat,2011,mixture
385,0.816,0.870297443,26,46.5,0.2635,5,wheat,2011,mixture
386,0.546,1.023726438,63,46,0.2925,5,wheat,2011,mixture
387,0.646,0.537847693,63,24,0.2735,5,wheat,2011,mixture
388,0.297,0.656252041,63,45,0.2255,5,wheat,2011,mixture
389,0.625,0.605112266,63,47,0.21,5,wheat,2011,mixture
390,0.641,1.106720494,63,52,0.2885,5,wheat,2011,mixture
391,0.363,0.729857138,81,36,0.269,5,wheat,2011,mixture
392,0.255,0.553119275,81,40,0.2155,5,wheat,2011,mixture
393,0.267,0.538591215,81,36,0.2235,5,wheat,2011,mixture
394,0.359,0.469619156,81,35,0.2085,5,wheat,2011,mixture
395,0.521,0.833409544,81,49,0.25,5,wheat,2011,mixture
396,0.323,0.705962831,283,41,0.247,5,wheat,2011,mixture
397,0.474,0.922458727,283,46,0.2745,5,wheat,2011,mixture
398,0.438,0.893252213,283,48,0.2635,5,wheat,2011,mixture
399,0.357,0.465900327,283,32,0.217,5,wheat,2011,mixture
400,0.416,0.465565889,283,36,0.2045,5,wheat,2011,mixture
401,0.851,5.247007142,252,73,0.5155,5,corn,2011,mixture
402,1.064,2.614585568,252,52,0.42,5,corn,2011,mixture
403,0.921,0.638965343,252,20,0.3175,5,corn,2011,mixture
404,0.534,0.765260206,137,56,0.222,5,wheat,2011,mixture
405,0.307,0.597076984,137,36,0.238,5,wheat,2011,mixture
406,0.633,0.856006404,137,62.5,0.225,5,wheat,2011,mixture
407,0.537,0.463700533,137,36,0.204,5,wheat,2011,mixture
408,0.612,0.348958522,137,28,0.1945,5,wheat,2011,mixture
409,0.523,8.053290124,302,61,0.71,5,corn,2011,mixture
410,0.921,1.658302578,302,26,0.465,5,corn,2011,mixture
411,0.763,0.56566445,302,33,0.2315,5,corn,2011,mixture
